caller_fqn,callee_fqn,resolved,origin
ichiran/characters:as-hiragana,ichiran/characters:*all-characters*,1,source
ichiran/characters:as-hiragana,ichiran/characters:*char-class-hash*,1,source
ichiran/characters:as-hiragana,ichiran/characters:to-normal-char,1,both
ichiran/characters:as-katakana,ichiran/characters:*all-characters*,1,source
ichiran/characters:as-katakana,ichiran/characters:*char-class-hash*,1,source
ichiran/characters:as-katakana,ichiran/characters:to-normal-char,1,both
ichiran/characters:basic-split,ichiran/characters:*basic-split-regex*,1,source
ichiran/characters:basic-split,ichiran/characters:split-by-regex,1,both
ichiran/characters:basic-split,ichiran/characters:test-word,1,both
ichiran/characters:collect-char-class,ichiran/characters:*char-class-regex-mapping*,1,source
ichiran/characters:collect-char-class,ichiran/characters:char-class,1,source
ichiran/characters:consecutive-char-groups,ichiran/characters:*char-scanners-inner*,1,source
ichiran/characters:consecutive-char-groups,ichiran/characters:char-class,1,source
ichiran/characters:count-char-class,ichiran/characters:*char-class-regex-mapping*,1,source
ichiran/characters:count-char-class,ichiran/characters:char-class,1,source
ichiran/characters:dakuten-join,ichiran/characters:*kana-characters*,1,source
ichiran/characters:destem,ichiran/characters:*char-class-regex-mapping*,1,source
ichiran/characters:destem,ichiran/characters:char-class,1,source
ichiran/characters:get-char-class,ichiran/characters:*char-class-hash*,1,source
ichiran/characters:kanji-match,ichiran/characters:kanji-regex,1,both
ichiran/characters:kanji-prefix,ichiran/characters:*kanji-regex*,1,source
ichiran/characters:kanji-regex,ichiran/characters:kanji-mask,1,runtime
ichiran/characters:long-vowel-modifier-p,ichiran/characters:char-class,1,source
ichiran/characters:long-vowel-modifier-p,ichiran/characters:get-char-class,1,both
ichiran/characters:match-diff,ichiran/characters:match-diff,1,runtime
ichiran/characters:normalize,ichiran/characters:*dakuten-join*,1,source
ichiran/characters:normalize,ichiran/characters:*punctuation-marks*,1,source
ichiran/characters:normalize,ichiran/characters:simplify-ngrams,1,both
ichiran/characters:normalize,ichiran/characters:to-normal-char,1,both
ichiran/characters:rendaku,ichiran/characters:*char-class-hash*,1,source
ichiran/characters:rendaku,ichiran/characters:*dakuten-hash*,1,source
ichiran/characters:rendaku,ichiran/characters:*handakuten-hash*,1,source
ichiran/characters:rendaku,ichiran/characters:*kana-characters*,1,source
ichiran/characters:test-word,ichiran/characters:*char-scanners*,1,source
ichiran/characters:test-word,ichiran/characters:char-class,1,source
ichiran/characters:to-normal-char,ichiran/characters:*abnormal-chars*,1,source
ichiran/characters:to-normal-char,ichiran/characters:*full-width-kana*,1,source
ichiran/characters:to-normal-char,ichiran/characters:*half-width-kana*,1,source
ichiran/characters:to-normal-char,ichiran/characters:*normal-chars*,1,source
ichiran/characters:unrendaku,ichiran/characters:*char-class-hash*,1,source
